617,17:40:42.6115,-53:40:42.7764,14.0188 
618,17:40:41.7086,-53:40:42.726,17.1707 
619,17:40:42.2174,-53:40:42.33,17.2684 
621,17:40:41.1497,-53:40:42.3012,16.9956 
622,17:40:44.6285,-53:40:41.8908,18.3862 
627,17:40:44.4214,-53:40:41.6892,27.1054 
628,17:40:42.3341,-53:40:41.6712,17.263 
633,17:40:39.8078,-53:40:41.43,18.0204 
634,17:40:40.8223,-53:40:41.4084,17.3921 
636,17:40:41.8963,-53:40:41.2752,17.6461 
637,17:40:42.1277,-53:40:41.2536,17.5402 
639,17:40:39.8184,-53:40:41.1204,17.303 
641,17:40:44.8783,-53:40:40.908,17.4687 
642,17:40:46.1335,-53:40:40.8144,17.1784 
643,17:40:44.1353,-53:40:40.8252,16.3684 
645,17:40:40.7066,-53:40:40.5984,17.2498 
646,17:40:42.1894,-53:40:40.584,17.2172 
650,17:40:41.6191,-53:40:40.0692,16.9796 
651,17:40:39.3557,-53:40:39.882,17.8456 
652,17:40:39.906,-53:40:39.8748,15.8126 
657,17:40:41.0282,-53:40:39.378,17.8603 
660,17:40:42.0226,-53:40:39.2484,17.3932 
662,17:40:43.0795,-53:40:38.7732,17.3315 
663,17:40:41.6834,-53:40:38.6256,17.2413 
665,17:40:41.1722,-53:40:38.4672,17.8488 
666,17:40:43.5593,-53:40:37.6356,17.5452 
671,17:40:45.1582,-53:40:37.3836,17.5032 
672,17:40:39.1342,-53:40:37.4304,17.215 
675,17:40:41.369,-53:40:37.326,17.8546 
676,17:40:42.0264,-53:40:37.272,17.5868 
677,17:40:40.7736,-53:40:37.2828,17.9553 
678,17:40:42.2268,-53:40:37.2108,17.7432 
680,17:40:44.6525,-53:40:37.0164,17.8206 
683,17:40:41.7672,-53:40:36.8904,17.554 
684,17:40:40.9738,-53:40:36.7212,17.244 
685,17:40:41.1787,-53:40:36.5592,17.6766 
687,17:40:39.317,-53:40:36.4548,17.2972 
688,17:40:43.579,-53:40:36.4476,16.916 
689,17:40:42.9336,-53:40:36.354,17.8097 
691,17:40:40.5338,-53:40:36.3288,17.4529 
692,17:40:44.4775,-53:40:36.1668,17.975 
694,17:40:43.4702,-53:40:36.048,15.915 
695,17:40:40.1136,-53:40:36.0084,17.8366 
697,17:40:40.998,-53:40:35.7816,17.636 
699,17:40:44.8046,-53:40:35.5512,17.4164 
702,17:40:42.7248,-53:40:35.4252,16.8098 
703,17:40:42.0026,-53:40:35.3028,17.5069 
705,17:40:42.0341,-53:40:35.076,17.6626 
706,17:40:42.1874,-53:40:35.0328,17.4009 
707,17:40:42.0029,-53:40:35.0148,17.7866 
711,17:40:40.4194,-53:40:34.842,17.6532 
713,17:40:43.3954,-53:40:34.5864,14.0892 
718,17:40:43.3356,-53:40:34.3452,17.9933 
719,17:40:41.2999,-53:40:34.3452,17.238 
720,17:40:40.2295,-53:40:34.2264,17.2184 
721,17:40:46.591,-53:40:34.1472,17.9715 
723,17:40:46.0642,-53:40:34.0428,17.8868 
725,17:40:40.6997,-53:40:33.9168,17.9078 
726,17:40:42.5887,-53:40:33.888,17.8348 
728,17:40:40.9183,-53:40:33.7764,17.3486 
729,17:40:41.7,-53:40:33.5748,16.7212 
731,17:40:39.9725,-53:40:33.3156,17.7684 
732,17:40:40.5374,-53:40:33.222,17.4843 
734,17:40:43.3838,-53:40:33.1896,18.0255 
737,17:40:42.4289,-53:40:33.06,17.6166 
742,17:40:44.9784,-53:40:32.7864,17.3855 
743,17:40:39.4716,-53:40:32.7072,17.9065 
744,17:40:38.8267,-53:40:32.6064,17.6706 
745,17:40:44.9501,-53:40:32.5128,17.8741 
747,17:40:40.2866,-53:40:32.4048,16.2761 
748,17:40:44.2654,-53:40:32.3688,17.2207 
749,17:40:42.5734,-53:40:32.3904,14.9867 
754,17:40:42.3437,-53:40:31.7928,14.8712 
757,17:40:40.1599,-53:40:31.6956,17.1057 
758,17:40:43.6654,-53:40:31.5552,17.9387 
759,17:40:41.4725,-53:40:31.5552,17.2517 
760,17:40:42.4414,-53:40:31.5264,17.6535 
761,17:40:41.8949,-53:40:31.1952,17.2505 
762,17:40:40.3159,-53:40:31.152,17.9743 
763,17:40:41.8061,-53:40:31.1376,18.3184 
766,17:40:45.497,-53:40:30.9036,17.9036 
767,17:40:44.4446,-53:40:30.9216,16.714 
769,17:40:41.0834,-53:40:30.882,17.6626 
773,17:40:46.445,-53:40:30.612,17.9354 
774,17:40:38.7528,-53:40:30.5724,17.4886 
775,17:40:42.6514,-53:40:30.5184,17.4174 
776,17:40:41.3671,-53:40:30.5472,17.7682 
777,17:40:41.5234,-53:40:30.4248,17.4699 
778,17:40:41.8656,-53:40:30.2016,17.5442 
779,17:40:42.4337,-53:40:30.1584,14.8737 
780,17:40:42.9024,-53:40:29.9892,17.7334 
781,17:40:39.2194,-53:40:30.0432,26.508 
782,17:40:40.7806,-53:40:29.874,14.8535 
784,17:40:42.3686,-53:40:29.7156,17.5707 
785,17:40:40.6594,-53:40:29.6148,17.9228 
787,17:40:41.5502,-53:40:29.4744,17.9703 
788,17:40:42.3886,-53:40:29.388,17.5142 
789,17:40:42.049,-53:40:29.3808,17.8992 
790,17:40:41.7674,-53:40:29.3232,17.7405 
791,17:40:45.287,-53:40:29.262,16.8783 
792,17:40:46.7837,-53:40:29.1504,17.1293 
793,17:40:42.5705,-53:40:29.1612,17.4451 
794,17:40:46.062,-53:40:28.974,17.4625 
795,17:40:42.1656,-53:40:28.9308,17.4833 
796,17:40:41.5082,-53:40:28.9308,17.3673 
798,17:40:42.2002,-53:40:28.848,14.5251 
800,17:40:40.747,-53:40:28.6752,16.5561 
801,17:40:42.3943,-53:40:28.6176,17.3598 
802,17:40:41.9866,-53:40:28.6212,17.22 
803,17:40:45.7279,-53:40:28.4916,17.2857 
804,17:40:43.0298,-53:40:28.4412,17.4337 
