id,ra,dec,f606w
0000736,265.169414,-53.674893,16.752 
0000738,265.173126,-53.674854,16.7844 
0000739,265.176619,-53.67483,16.4055 
0000740,265.175204,-53.674828,16.7837 
0000741,265.174031,-53.674812,16.5597 
0000744,265.177377,-53.674767,16.2341 
0000746,265.17569,-53.674703,16.3307 
0000747,265.172951,-53.674703,16.16 
0000749,265.175834,-53.67468,14.5142 
0000751,265.169779,-53.674632,14.192 
0000752,265.176643,-53.674616,16.144 
0000753,265.174944,-53.674617,15.8666 
0000756,265.179291,-53.674567,16.2281 
0000757,265.172606,-53.674546,15.2033 
0000758,265.170361,-53.674545,16.6667 
0000759,265.176188,-53.674536,16.7776 
0000760,265.173373,-53.674517,16.742 
0000762,265.17636,-53.674506,16.3184 
0000764,265.176916,-53.67449,16.1755 
0000765,265.163269,-53.67447,14.6733 
0000767,265.18182,-53.674438,15.6536 
0000768,265.177578,-53.67442,16.2573 
0000769,265.18265,-53.674416,16.6186 
0000775,265.180735,-53.674339,15.6767 
0000776,265.175793,-53.674335,16.0403 
0000777,265.175595,-53.674334,16.6193 
0000780,265.182206,-53.674321,16.4537 
0000781,265.177598,-53.674305,15.9794 
0000782,265.172702,-53.674297,16.592 
0000783,265.178209,-53.674282,16.7528 
0000785,265.180226,-53.674243,16.4475 
0000786,265.178526,-53.674214,16.6242 
0000787,265.173649,-53.674209,12.8672 
0000788,265.180759,-53.674196,16.5982 
0000789,265.18369,-53.674182,15.8561 
0000790,265.171208,-53.674181,16.4476 
0000792,265.185586,-53.674127,16.6131 
0000793,265.175249,-53.674128,14.2757 
0000794,265.173083,-53.674103,14.3763 
0000795,265.168121,-53.674104,14.829 
0000803,265.169237,-53.674024,16.4278 
0000804,265.163517,-53.674028,16.1977 
0000805,265.181292,-53.673998,13.6092 
0000806,265.173862,-53.67398,16.5906 
0000808,265.179106,-53.673966,15.404 
0000809,265.176596,-53.673925,16.779 
0000810,265.187211,-53.673918,16.1255 
0000811,265.178752,-53.673895,15.946 
0000812,265.176453,-53.673867,15.8292 
0000813,265.173721,-53.673811,16.3032 
0000816,265.17264,-53.673782,16.2568 
0000817,265.17504,-53.673761,14.4846 
0000818,265.185804,-53.673732,15.8642 
0000820,265.171429,-53.673703,16.046 
0000823,265.164707,-53.673652,15.2179 
0000824,265.166539,-53.673592,13.3107 
0000826,265.171824,-53.673581,13.6996 
0000831,265.184794,-53.673502,16.5776 
0000833,265.177114,-53.67347,16.4759 
0000836,265.165226,-53.673403,16.5861 
0000840,265.187807,-53.673315,16.6542 
0000841,265.174101,-53.673326,13.2572 
0000842,265.173297,-53.673298,15.659 
0000843,265.172611,-53.673271,15.8184 
0000845,265.176956,-53.673224,16.3241 
0000846,265.164549,-53.67321,15.9927 
0000848,265.175897,-53.673174,16.6096 
0000849,265.162905,-53.673173,16.4409 
0000852,265.174675,-53.673128,14.4915 
0000855,265.168008,-53.6731,16.7073 
0000859,265.17065,-53.672979,16.8 
0000860,265.176314,-53.672896,16.6293 
0000861,265.167582,-53.672902,16.654 
0000862,265.163991,-53.672893,15.8686 
0000867,265.177008,-53.672732,15.6666 
0000869,265.171625,-53.672694,15.0448 
0000872,265.178613,-53.672648,16.207 
0000875,265.173272,-53.672464,13.7372 
0000876,265.16378,-53.67243,16.5629 
0000877,265.163231,-53.672389,16.6053 
0000879,265.178801,-53.672284,16.3932 
0000881,265.175781,-53.672276,15.1733 
0000882,265.170591,-53.672259,16.4419 
0000884,265.175547,-53.67225,16.6644 
0000886,265.176009,-53.672249,14.9117 
0000887,265.171566,-53.672231,14.2995 
0000888,265.176146,-53.672218,16.3893 
0000889,265.174929,-53.672215,16.6331 
0000890,265.184348,-53.672195,16.7038 
0000891,265.18097,-53.672149,-99.9999 
0000893,265.164485,-53.672114,15.5407 
